President,Took office,Left office
James K. Polk,4/03/1845,4/03/1849
Zachary Taylor,4/03/1849,9/07/1850
Millard Fillmore,9/07/1850,4/03/1853
Franklin Pierce,4/03/1853,4/03/1857
James Buchanan,4/03/1857,4/03/1861
Abraham Lincoln,4/03/1861,15/04/1865
Andrew Johnson,15/04/1865,4/03/1869
Ulysses S. Grant,4/03/1869,4/03/1877
Rutherford B. Hayes,4/03/1877,4/03/1881
James A. Garfield,4/03/1881,19/09/1881
